nl,fr,known
hallo,bonjour,0
dank u wel,merci beaucoup,0
alsjeblieft,s'il te plaît,0
ja,oui,0
nee,non,0
de man,l'homme,0
de vrouw,la femme,0
het kind,l'enfant,0
het water,l'eau,0
het brood,le pain,0
de melk,le lait,0
de koffie,le café,0
eten,manger,0
drinken,boire,0
slapen,dormir,0
lopen,marcher,0
praten,parler,0
lezen,lire,0
schrijven,écrire,0
werken,travailler,0
de dag,le jour,0
de nacht,la nuit,0
vandaag,aujourd'hui,0
morgen,demain,0
gisteren,hier,0
een,un,0
twee,deux,0
drie,trois,0
vier,quatre,0
vijf,cinq,0
rood,rouge,0
blauw,bleu,0
groen,vert,0
geel,jaune,0
zwart,noir,0
wit,blanc,0
de zon,le soleil,0
de maan,la lune,0
de regen,la pluie,0
warm,chaud,0
koud,froid,0
groot,grand,0
klein,petit,0
mooi,beau,0
lelijk,laid,0
